timestamp,force.x[N],force.y[N],force.z[N],torque.x[N m],torque.y[N m],torque.z[N m],sinkage[mm],rotary_encoder[]
3.34011,-12.95,1.65,-45.6,1.865,-2.649,-0.3832,0,0
3.36082,-12.8,1.8,-45.25,1.712,-2.63,-0.3672,0,0
3.37977,-12.75,1.95,-45.45,1.642,-2.605,-0.3584,0,0
3.44012,-11.85,2.55,-47.7,1.906,-2.349,-0.3824,0,0
3.45974,-11.9,2.4,-48.1,2.012,-2.372,-0.3912,0,0
3.48096,-12.3,2.2,-47.35,1.99,-2.487,-0.3968,0,0
3.53969,-12.6,1.75,-45.6,1.788,-2.609,-0.3728,0,0
3.55981,-12.55,1.8,-44.8,1.614,-2.592,-0.3568,0,0
3.57996,-12.35,2.05,-44.3,1.536,-2.53,-0.3488,0,0
3.63982,-11.4,2.55,-47.5,1.896,-2.256,-0.376,0,0
3.66007,-11.55,2.5,-47.8,1.944,-2.302,-0.3816,0,0
3.67969,-11.85,2.25,-47.15,1.916,-2.395,-0.3776,0,0
3.74134,-12.1,1.7,-44.7,1.629,-2.503,-0.3432,0,0
3.75948,-11.9,1.85,-44.75,1.549,-2.454,-0.332,0,0
3.77981,-11.6,2.1,-45.2,1.518,-2.366,-0.3288,0,0
3.83969,-10.95,2.7,-48.25,1.816,-2.164,-0.3688,0,0
3.85981,-11.25,2.6,-47.85,1.838,-2.25,-0.3728,0,0
3.87981,-11.55,2.3,-46.55,1.793,-2.35,-0.368,0,0
3.93947,-11.9,1.85,-44.65,1.512,-2.45,-0.336,0,0
3.95981,-11.7,2.05,-44.2,1.417,-2.384,-0.3304,0,17.265
3.97981,-11.15,2.4,-43.7,1.379,-2.245,-0.3256,0,18.065
4.03994,-10.55,2.75,-47.95,1.818,-2.053,-0.3496,0,17.7553
4.05982,-11,2.6,-46.85,1.771,-2.198,-0.3544,0,17.8586
4.07981,-11.35,2.3,-45.85,1.717,-2.298,-0.3544,0,17.394
4.13969,-11.6,2,-42.5,1.357,-2.391,-0.3272,0,17.936
4.15981,-11.3,2.25,-42.1,1.317,-2.285,-0.3192,0,17.6263
4.18093,-10.7,2.65,-43.9,1.499,-2.084,-0.3256,0,17.8069
4.24202,-10.6,2.8,-47.15,1.718,-2.099,-0.3472,0,17.7553
4.25948,-10.95,2.6,-46.3,1.662,-2.201,-0.348,0,17.8586
4.27982,-11.35,2.3,-45.3,1.581,-2.304,-0.3464,0,18.4005
4.33993,-11.7,2.2,-43,1.315,-2.361,-0.32,0,17.8069
4.35983,-11.2,2.5,-42.7,1.359,-2.232,-0.3296,0,18.5037
4.37982,-10.5,2.95,-45.8,1.624,-2.024,-0.3376,0,17.9618
4.44067,-11.05,2.7,-46.1,1.693,-2.221,-0.3576,0,18.3489
4.45971,-11.5,2.35,-45.1,1.635,-2.338,-0.3568,0,17.3682
4.50018,-11.95,2,-42.1,1.397,-2.454,-0.3312,0,18.4263
4.53969,-11.35,2.5,-44.35,1.529,-2.253,-0.328,0,17.7811
4.57969,-10.7,3.2,-47.15,1.788,-2.084,-0.3648,0,17.5489
4.61994,-11.3,2.7,-45.8,1.789,-2.269,-0.3672,0,18.607
4.66004,-11.9,2.15,-43.25,1.561,-2.439,-0.364,0,18.065
4.69972,-11.25,2.6,-40.35,1.299,-2.265,-0.3304,0,17.9618
4.73945,-10.15,2.75,-45.45,1.943,-1.926,-0.312,0,18.7876
4.77981,-10.35,3.1,-46.15,1.885,-2.029,-0.3488,0,18.0392
4.81969,-11.2,2.4,-43.95,1.727,-2.269,-0.3544,0,18.2973
4.85981,-11.7,2.15,-40.95,1.419,-2.392,-0.3496,0,19.1747
4.89995,-10.55,2.75,-40.3,1.424,-2.077,-0.3208,0,18.4521
4.94024,-9.55,3.05,-46.95,2.055,-1.802,-0.304,0,18.5553
4.97982,-10,3,-44.65,1.783,-1.974,-0.3344,0,18.9166
5.01946,-10.6,2.3,-41.75,1.568,-2.144,-0.3272,0,18.6844
5.05969,-10.6,2.2,-41.4,1.401,-2.138,-0.3064,0,18.2715
5.0997,-9.65,2.55,-43.25,1.654,-1.862,-0.2856,0,18.3747
5.13945,-9.45,3.25,-46.65,1.822,-1.787,-0.3152,0,17.936
5.17992,-9.95,2.9,-43.8,1.682,-1.967,-0.332,0,18.0134
5.22006,-10.6,2.1,-42,1.576,-2.134,-0.3152,0,17.7037
5.25993,-10.3,2.35,-37.95,1.158,-2.092,-0.3032,0,17.5489
5.29983,-9.15,2.85,-42.05,1.589,-1.741,-0.284,0,17.5747
5.33946,-9,3.25,-44.85,1.755,-1.707,-0.2984,0,17.2392
5.38071,-9.8,2.4,-41.6,1.614,-1.955,-0.3112,0,17.0069
5.41992,-10.1,2.05,-38.65,1.34,-2.045,-0.2984,0,17.265
5.45997,-9.15,2.65,-36.65,1.076,-1.807,-0.2656,0,17.2392
5.50008,-8.25,3.25,-42.5,1.568,-1.512,-0.2528,0,16.9811
5.53973,-8.5,3.2,-42,1.572,-1.615,-0.2856,0,17.2392
5.58011,-9.2,2.4,-40.55,1.492,-1.822,-0.284,0,17.0843
5.61999,-9.25,2.25,-38.7,1.213,-1.864,-0.272,0,17.0327
5.65975,-8.45,2.85,-39.35,1.15,-1.637,-0.2448,0,17.1101
5.70102,-8.2,3.55,-45.4,1.568,-1.483,-0.2744,0,17.1101
5.73962,-8.65,3.1,-41.65,1.492,-1.686,-0.2944,0,16.9295
5.77976,-9.15,2.3,-39.7,1.37,-1.841,-0.2768,0,17.3424
5.82,-8.7,2.35,-38.05,1.052,-1.736,-0.2584,0,17.0327
5.86024,-8.05,3.1,-41.7,1.285,-1.514,-0.2472,0,16.9037
5.9,-8.3,3.45,-43.7,1.477,-1.56,-0.2896,0,17.0585
5.94139,-9,2.55,-40.9,1.459,-1.781,-0.2848,0,16.9037
5.97987,-9.2,2.2,-37.9,1.166,-1.869,-0.2712,0,16.8521
6.01999,-8.85,2.95,-37.75,0.925,-1.725,-0.2536,0,16.8779
6.0595,-8.5,3.4,-43.05,1.346,-1.548,-0.2816,0,16.7488
6.09974,-8.8,2.95,-42.55,1.515,-1.666,-0.2928,0,16.8005
6.13986,-9.2,2.25,-40.65,1.413,-1.832,-0.272,0,16.8263
6.1801,-9.4,2.2,-39.15,1.15,-1.864,-0.2568,0,16.6972
6.2201,-9.1,3.2,-42.8,1.139,-1.68,-0.2792,0,16.9295
6.25974,-9.35,3.55,-43.75,1.236,-1.698,-0.3152,0,16.594
6.29975,-9.5,2.7,-42.1,1.396,-1.818,-0.3016,0,16.6972
6.33949,-9.85,2.4,-40.45,1.203,-1.935,-0.2816,0,16.7488
6.37999,-9.65,2.95,-39.4,1.004,-1.847,-0.284,0,16.6198
6.41999,-9.55,3.3,-43.55,1.313,-1.732,-0.316,0,16.4391
6.46023,-10.05,2.95,-42.7,1.392,-1.917,-0.3288,0,16.7746
